date,value,punto
1981.01.16,19.32828522,Calca
1981.02.14,20.29980469,Calca
1981.03.16,19.82501793,Calca
1981.04.15,21.10969734,Calca
1981.05.16,21.18037224,Calca
1981.06.15,21.62101746,Calca
1981.07.16,22.48075676,Calca
1981.08.16,21.99971581,Calca
1981.09.15,22.79379845,Calca
1981.10.16,22.74790764,Calca
1981.11.15,21.71094513,Calca
1981.12.16,21.48394966,Calca
1982.01.16,22.82978249,Calca
1982.02.14,23.04000664,Calca
1982.03.16,20.97751617,Calca
1982.04.15,22.32579994,Calca
1982.05.16,22.24111748,Calca
1982.06.15,21.73018837,Calca
1982.07.16,22.63690948,Calca
1982.08.16,22.98935509,Calca
1982.09.15,22.65180206,Calca
1982.10.16,23.15462875,Calca
1982.11.15,22.42857742,Calca
1982.12.16,22.90923119,Calca
1983.01.16,23.49739456,Calca
1983.02.14,21.99219704,Calca
1983.03.16,22.33571053,Calca
1983.04.15,21.76822472,Calca
1983.05.16,20.72209358,Calca
1983.06.15,22.86284256,Calca
1983.07.16,21.2816124,Calca
1983.08.16,23.49932861,Calca
1983.09.15,23.86092377,Calca
1983.10.16,21.27500534,Calca
1983.11.15,19.59544182,Calca
1983.12.16,21.43130493,Calca
1984.01.16,18.33271408,Calca
1984.02.15,19.26699448,Calca
1984.03.16,20.40224457,Calca
1984.04.15,19.87097168,Calca
1984.05.16,22.05148125,Calca
1984.06.15,21.1255722,Calca
1984.07.16,20.33672905,Calca
1984.08.16,21.20397568,Calca
1984.09.15,22.1703434,Calca
1984.10.16,22.07026482,Calca
1984.11.15,21.52802849,Calca
1984.12.16,20.53943443,Calca
1985.01.16,20.48962784,Calca
1985.02.14,19.29183388,Calca
1985.03.16,21.18226242,Calca
1985.04.15,20.81794739,Calca
1985.05.16,21.70475197,Calca
1985.06.15,19.97311401,Calca
1985.07.16,20.5996933,Calca
1985.08.16,22.72927666,Calca
1985.09.15,22.16961479,Calca
1985.10.16,23.01808548,Calca
1985.11.15,20.76187706,Calca
1985.12.16,20.28657532,Calca
1986.01.16,20.19879913,Calca
1986.02.14,19.42618942,Calca
1986.03.16,19.67089462,Calca
1986.04.15,21.0580864,Calca
1986.05.16,21.42753983,Calca
1986.06.15,21.75740051,Calca
1986.07.16,20.38897324,Calca
1986.08.16,22.11621284,Calca
1986.09.15,21.94370079,Calca
1986.10.16,22.71961784,Calca
1986.11.15,22.60187149,Calca
1986.12.16,21.51311111,Calca
1987.01.16,20.41307831,Calca
1987.02.14,21.46598053,Calca
1987.03.16,21.7031765,Calca
1987.04.15,21.80777359,Calca
1987.05.16,21.77351761,Calca
1987.06.15,21.46262932,Calca
1987.07.16,22.62291718,Calca
1987.08.16,23.40990829,Calca
1987.09.15,23.38728142,Calca
1987.10.16,23.28265762,Calca
1987.11.15,22.33823967,Calca
1987.12.16,22.50696564,Calca
1988.01.16,20.9359684,Calca
1988.02.15,21.75160789,Calca
1988.03.16,20.37203026,Calca
1988.04.15,20.8984108,Calca
1988.05.16,21.3617115,Calca
1988.06.15,21.69144821,Calca
1988.07.16,21.52006912,Calca
1988.08.16,23.60380936,Calca
1988.09.15,22.14170456,Calca
1988.10.16,22.96422005,Calca
1988.11.15,22.15000534,Calca
1988.12.16,20.64140511,Calca
1989.01.16,19.29676628,Calca
1989.02.14,19.41111755,Calca
1989.03.16,19.49080086,Calca
1989.04.15,20.1511898,Calca
1989.05.16,20.2032547,Calca
1989.06.15,20.97289467,Calca
1989.07.16,20.97088051,Calca
1989.08.16,21.53571892,Calca
1989.09.15,22.11479759,Calca
1989.10.16,22.2885685,Calca
1989.11.15,22.80668449,Calca
1989.12.16,22.42117882,Calca
1990.01.16,20.22721672,Calca
1990.02.14,21.15991974,Calca
1990.03.16,21.54635811,Calca
1990.04.15,21.90280914,Calca
1990.05.16,21.15999603,Calca
1990.06.15,19.65571213,Calca
1990.07.16,20.62890053,Calca
1990.08.16,21.95640373,Calca
1990.09.15,22.55690193,Calca
1990.10.16,22.15153885,Calca
1990.11.15,22.04501534,Calca
1990.12.16,21.48251915,Calca
1991.01.16,21.79190445,Calca
1991.02.14,21.27461624,Calca
1991.03.16,20.48977852,Calca
1991.04.15,21.25781631,Calca
1991.05.16,22.27514839,Calca
1991.06.15,21.8157444,Calca
1991.07.16,21.81141663,Calca
1991.08.16,22.09292603,Calca
1991.09.15,21.29304695,Calca
1991.10.16,21.18358231,Calca
1991.11.15,21.58911896,Calca
1991.12.16,21.50510025,Calca
1992.01.16,20.82122993,Calca
1992.02.15,20.91733932,Calca
1992.03.16,21.10222626,Calca
1992.04.15,21.85155678,Calca
1992.05.16,22.79056549,Calca
1992.06.15,20.76371002,Calca
1992.07.16,20.51626396,Calca
1992.08.16,20.4808712,Calca
1992.09.15,21.59688377,Calca
1992.10.16,21.83464241,Calca
1992.11.15,21.98234558,Calca
1992.12.16,21.31306458,Calca
1993.01.16,20.08377647,Calca
1993.02.14,19.919643399999998,Calca
1993.03.16,19.90897751,Calca
1993.04.15,20.41159821,Calca
1993.05.16,21.68465805,Calca
1993.06.15,22.10311317,Calca
1993.07.16,21.48820686,Calca
1993.08.16,20.97547531,Calca
1993.09.15,21.31988335,Calca
1993.10.16,21.58482552,Calca
1993.11.15,21.81741142,Calca
1993.12.16,21.18969727,Calca
1994.01.16,20.10745811,Calca
1994.02.14,20.21675873,Calca
1994.03.16,19.97134972,Calca
1994.04.15,20.42958832,Calca
1994.05.16,21.6386013,Calca
1994.06.15,21.40982056,Calca
1994.07.16,21.78045845,Calca
1994.08.16,22.44563484,Calca
1994.09.15,21.89352226,Calca
1994.10.16,22.53469086,Calca
1994.11.15,22.31010246,Calca
1994.12.16,21.64182281,Calca
1995.01.16,21.49093246,Calca
1995.02.14,21.25561142,Calca
1995.03.16,20.5743084,Calca
1995.04.15,21.96053123,Calca
1995.05.16,22.06223488,Calca
1995.06.15,21.65856552,Calca
1995.07.16,22.34028053,Calca
1995.08.16,23.39938927,Calca
1995.09.15,22.2011795,Calca
1995.10.16,22.99840927,Calca
1995.11.15,22.55101967,Calca
1995.12.16,21.4755764,Calca
1996.01.16,19.79459,Calca
1996.02.15,20.42289352,Calca
1996.03.16,20.6871357,Calca
1996.04.15,20.75816154,Calca
1996.05.16,21.23867989,Calca
1996.06.15,20.9884491,Calca
1996.07.16,20.92556763,Calca
1996.08.16,21.07443619,Calca
1996.09.15,22.38626862,Calca
1996.10.16,22.56118584,Calca
1996.11.15,21.91957283,Calca
1996.12.16,20.45411682,Calca
1997.01.16,20.10898209,Calca
1997.02.14,19.84683228,Calca
1997.03.16,20.28493881,Calca
1997.04.15,20.96841621,Calca
1997.05.16,20.99732971,Calca
1997.06.15,22.17867088,Calca
1997.07.16,22.2612133,Calca
1997.08.16,20.49013901,Calca
1997.09.15,22.46074677,Calca
1997.10.16,23.60429764,Calca
1997.11.15,22.87501335,Calca
1997.12.16,22.74376678,Calca
1998.01.16,22.25031281,Calca
1998.02.14,22.4371624,Calca
1998.03.16,22.54007912,Calca
1998.04.15,23.40689087,Calca
1998.05.16,23.26846695,Calca
1998.06.15,21.69680405,Calca
1998.07.16,22.82720757,Calca
1998.08.16,23.21454239,Calca
1998.09.15,23.8760891,Calca
1998.10.16,22.71401024,Calca
1998.11.15,22.37176132,Calca
1998.12.16,21.43700027,Calca
1999.01.16,20.66518021,Calca
1999.02.14,19.53207207,Calca
1999.03.16,19.05800247,Calca
1999.04.15,20.05054092,Calca
1999.05.16,20.90531921,Calca
1999.06.15,21.33893394,Calca
1999.07.16,20.60091019,Calca
1999.08.16,22.20449638,Calca
1999.09.15,21.65895462,Calca
1999.10.16,21.24508667,Calca
1999.11.15,22.80089569,Calca
1999.12.16,20.99834442,Calca
2000.01.16,19.4726696,Calca
2000.02.15,19.52258873,Calca
2000.03.16,19.59800339,Calca
2000.04.15,21.35137367,Calca
2000.05.16,21.85971832,Calca
2000.06.15,21.22861862,Calca
2000.07.16,21.0089798,Calca
2000.08.16,21.68533897,Calca
2000.09.15,23.03824806,Calca
