date,value,punto
1981.01.16,18.4956665,Ollantaytambo
1981.02.14,19.25190163,Ollantaytambo
1981.03.16,18.81568527,Ollantaytambo
1981.04.15,19.95307922,Ollantaytambo
1981.05.16,20.01785469,Ollantaytambo
1981.06.15,20.63646507,Ollantaytambo
1981.07.16,21.56396484,Ollantaytambo
1981.08.16,21.29305267,Ollantaytambo
1981.09.15,22.09235382,Ollantaytambo
1981.10.16,22.00281715,Ollantaytambo
1981.11.15,20.88776588,Ollantaytambo
1981.12.16,20.69095802,Ollantaytambo
1982.01.16,21.91788101,Ollantaytambo
1982.02.14,22.11227608,Ollantaytambo
1982.03.16,19.88891602,Ollantaytambo
1982.04.15,21.46893692,Ollantaytambo
1982.05.16,21.19786835,Ollantaytambo
1982.06.15,20.63497925,Ollantaytambo
1982.07.16,21.5119133,Ollantaytambo
1982.08.16,21.7191925,Ollantaytambo
1982.09.15,21.52452087,Ollantaytambo
1982.10.16,21.89053726,Ollantaytambo
1982.11.15,21.36556244,Ollantaytambo
1982.12.16,21.86091232,Ollantaytambo
1983.01.16,22.35007095,Ollantaytambo
1983.02.14,21.08597565,Ollantaytambo
1983.03.16,21.61239052,Ollantaytambo
1983.04.15,21.12101746,Ollantaytambo
1983.05.16,20.03096581,Ollantaytambo
1983.06.15,22.17403221,Ollantaytambo
1983.07.16,20.55089951,Ollantaytambo
1983.08.16,22.53976822,Ollantaytambo
1983.09.15,22.9977169,Ollantaytambo
1983.10.16,20.55046844,Ollantaytambo
1983.11.15,18.65275002,Ollantaytambo
1983.12.16,20.47859001,Ollantaytambo
1984.01.16,17.32892227,Ollantaytambo
1984.02.15,18.31085014,Ollantaytambo
1984.03.16,19.35082817,Ollantaytambo
1984.04.15,18.7380619,Ollantaytambo
1984.05.16,20.90356827,Ollantaytambo
1984.06.15,20.22083664,Ollantaytambo
1984.07.16,19.4523735,Ollantaytambo
1984.08.16,20.54399681,Ollantaytambo
1984.09.15,21.49676895,Ollantaytambo
1984.10.16,21.45184898,Ollantaytambo
1984.11.15,20.66425323,Ollantaytambo
1984.12.16,19.52118492,Ollantaytambo
1985.01.16,19.35678482,Ollantaytambo
1985.02.14,18.2661953,Ollantaytambo
1985.03.16,20.01559639,Ollantaytambo
1985.04.15,19.69286346,Ollantaytambo
1985.05.16,20.63334084,Ollantaytambo
1985.06.15,19.06418228,Ollantaytambo
1985.07.16,19.75999069,Ollantaytambo
1985.08.16,22.00450516,Ollantaytambo
1985.09.15,21.45777893,Ollantaytambo
1985.10.16,22.29326248,Ollantaytambo
1985.11.15,19.87967682,Ollantaytambo
1985.12.16,19.27764702,Ollantaytambo
1986.01.16,19.31739998,Ollantaytambo
1986.02.14,18.30682945,Ollantaytambo
1986.03.16,18.53933334,Ollantaytambo
1986.04.15,19.88178825,Ollantaytambo
1986.05.16,20.00592995,Ollantaytambo
1986.06.15,21.01226616,Ollantaytambo
1986.07.16,19.74096107,Ollantaytambo
1986.08.16,21.21966553,Ollantaytambo
1986.09.15,21.44348335,Ollantaytambo
