date,value,punto
1981.01.16,19.86621094,Pisac
1981.02.14,20.87736511,Pisac
1981.03.16,20.71930122,Pisac
1981.04.15,22.58479309,Pisac
1981.05.16,22.95209122,Pisac
1981.06.15,23.22182465,Pisac
1981.07.16,24.04248428,Pisac
1981.08.16,22.98355675,Pisac
1981.09.15,24.0494194,Pisac
1981.10.16,23.95514679,Pisac
1981.11.15,23.30718803,Pisac
1981.12.16,22.13949966,Pisac
1982.01.16,23.8249836,Pisac
1982.02.14,24.05493927,Pisac
1982.03.16,21.49770355,Pisac
1982.04.15,22.93497849,Pisac
1982.05.16,23.33017731,Pisac
1982.06.15,22.75372887,Pisac
1982.07.16,23.96878624,Pisac
1982.08.16,24.85082436,Pisac
1982.09.15,24.53998756,Pisac
1982.10.16,25.33813858,Pisac
1982.11.15,24.04927063,Pisac
1982.12.16,24.74350357,Pisac
1983.01.16,25.17098045,Pisac
1983.02.14,23.30385208,Pisac
1983.03.16,23.08763313,Pisac
1983.04.15,22.55527496,Pisac
1983.05.16,21.45047569,Pisac
1983.06.15,23.74924469,Pisac
1983.07.16,22.09424591,Pisac
1983.08.16,24.47316551,Pisac
1983.09.15,25.40666008,Pisac
1983.10.16,22.28342247,Pisac
1983.11.15,20.15940857,Pisac
1983.12.16,22.37949944,Pisac
1984.01.16,19.07089043,Pisac
1984.02.15,20.21839523,Pisac
1984.03.16,21.39996147,Pisac
1984.04.15,20.95259476,Pisac
1984.05.16,23.85673141,Pisac
1984.06.15,22.55039215,Pisac
1984.07.16,21.15604973,Pisac
1984.08.16,21.96566582,Pisac
1984.09.15,22.94816971,Pisac
1984.10.16,23.26130486,Pisac
1984.11.15,23.12280083,Pisac
1984.12.16,21.35521889,Pisac
1985.01.16,21.51783943,Pisac
1985.02.14,19.95030975,Pisac
1985.03.16,22.47732925,Pisac
1985.04.15,22.21054268,Pisac
1985.05.16,23.47657204,Pisac
1985.06.15,21.25374985,Pisac
1985.07.16,21.77115822,Pisac
1985.08.16,23.87518883,Pisac
1985.09.15,23.40022278,Pisac
1985.10.16,24.05783081,Pisac
1985.11.15,22.00844002,Pisac
1985.12.16,21.17642403,Pisac
1986.01.16,20.72036552,Pisac
1986.02.14,19.92432785,Pisac
1986.03.16,20.79076767,Pisac
1986.04.15,22.46874237,Pisac
1986.05.16,23.87697601,Pisac
1986.06.15,22.61562538,Pisac
1986.07.16,20.88864899,Pisac
1986.08.16,23.37634659,Pisac
1986.09.15,22.3755188,Pisac
1986.10.16,22.69579887,Pisac
1986.11.15,23.23757744,Pisac
1986.12.16,22.25412941,Pisac
1987.01.16,21.22094536,Pisac
1987.02.14,21.75229263,Pisac
1987.03.16,22.27996445,Pisac
1987.04.15,23.16653252,Pisac
1987.05.16,23.60243797,Pisac
1987.06.15,23.1258812,Pisac
1987.07.16,24.820758820000002,Pisac
1987.08.16,24.45133209,Pisac
1987.09.15,24.56261444,Pisac
1987.10.16,24.66715813,Pisac
1987.11.15,23.91448402,Pisac
1987.12.16,23.63973999,Pisac
1988.01.16,22.37775612,Pisac
1988.02.15,22.75383759,Pisac
1988.03.16,21.90598106,Pisac
1988.04.15,22.80789948,Pisac
1988.05.16,22.9514122,Pisac
1988.06.15,22.93384552,Pisac
1988.07.16,22.13160896,Pisac
1988.08.16,24.3705864,Pisac
1988.09.15,22.80105782,Pisac
1988.10.16,23.6673851,Pisac
1988.11.15,22.91677475,Pisac
1988.12.16,21.03557205,Pisac
1989.01.16,19.93164635,Pisac
1989.02.14,19.57546997,Pisac
1989.03.16,20.00270271,Pisac
1989.04.15,21.2698288,Pisac
1989.05.16,21.22413445,Pisac
1989.06.15,22.4488163,Pisac
1989.07.16,22.12628174,Pisac
1989.08.16,22.44726944,Pisac
1989.09.15,22.882061,Pisac
1989.10.16,22.99418449,Pisac
1989.11.15,24.24189377,Pisac
1989.12.16,23.31743622,Pisac
1990.01.16,20.57113647,Pisac
1990.02.14,21.54629326,Pisac
1990.03.16,22.92088127,Pisac
1990.04.15,23.51805878,Pisac
1990.05.16,23.05799484,Pisac
1990.06.15,21.59552956,Pisac
1990.07.16,21.73796844,Pisac
1990.08.16,23.26969528,Pisac
1990.09.15,23.45881271,Pisac
1990.10.16,23.70656776,Pisac
1990.11.15,23.92674828,Pisac
1990.12.16,22.80636597,Pisac
1991.01.16,22.78467178,Pisac
1991.02.14,22.47283745,Pisac
1991.03.16,21.67404747,Pisac
1991.04.15,22.74974823,Pisac
1991.05.16,24.08969307,Pisac
1991.06.15,23.32212639,Pisac
1991.07.16,22.98352814,Pisac
1991.08.16,22.78271294,Pisac
1991.09.15,21.80224419,Pisac
1991.10.16,21.80913925,Pisac
1991.11.15,23.32074547,Pisac
1991.12.16,22.0453167,Pisac
1992.01.16,21.53990173,Pisac
1992.02.15,21.5515728,Pisac
1992.03.16,21.54038429,Pisac
1992.04.15,22.9917717,Pisac
1992.05.16,24.45002174,Pisac
1992.06.15,22.7412014,Pisac
1992.07.16,21.67007446,Pisac
1992.08.16,21.14772797,Pisac
1992.09.15,22.28724098,Pisac
1992.10.16,22.93217087,Pisac
1992.11.15,23.31507111,Pisac
1992.12.16,21.73924255,Pisac
1993.01.16,21.06975365,Pisac
1993.02.14,19.92437363,Pisac
1993.03.16,20.44301796,Pisac
1993.04.15,21.56860924,Pisac
1993.05.16,23.27014923,Pisac
1993.06.15,23.46750832,Pisac
1993.07.16,22.39982605,Pisac
1993.08.16,21.90244675,Pisac
1993.09.15,22.05999947,Pisac
1993.10.16,22.00571442,Pisac
1993.11.15,23.15517426,Pisac
1993.12.16,22.23508644,Pisac
1994.01.16,21.01051712,Pisac
1994.02.14,21.00873566,Pisac
1994.03.16,20.69091606,Pisac
1994.04.15,21.8042717,Pisac
1994.05.16,23.49751282,Pisac
1994.06.15,23.06138992,Pisac
1994.07.16,22.90380669,Pisac
1994.08.16,23.25914574,Pisac
1994.09.15,22.49296188,Pisac
1994.10.16,23.84566498,Pisac
1994.11.15,23.75154495,Pisac
1994.12.16,22.84378433,Pisac
1995.01.16,22.86206055,Pisac
1995.02.14,22.35242271,Pisac
1995.03.16,22.44753838,Pisac
1995.04.15,23.29096794,Pisac
1995.05.16,23.31308937,Pisac
1995.06.15,22.95897102,Pisac
1995.07.16,23.60598564,Pisac
1995.08.16,24.08555984,Pisac
1995.09.15,23.10400963,Pisac
1995.10.16,23.70477104,Pisac
1995.11.15,24.32028198,Pisac
1995.12.16,22.60317039,Pisac
1996.01.16,20.46424294,Pisac
1996.02.15,21.40868187,Pisac
1996.03.16,21.73987579,Pisac
1996.04.15,22.14341545,Pisac
1996.05.16,22.66021156,Pisac
1996.06.15,21.92432213,Pisac
1996.07.16,21.26425934,Pisac
1996.08.16,21.84859657,Pisac
1996.09.15,23.25133324,Pisac
1996.10.16,23.36472511,Pisac
1996.11.15,23.30432129,Pisac
1996.12.16,20.98695564,Pisac
1997.01.16,20.920200350000002,Pisac
1997.02.14,21.14610672,Pisac
1997.03.16,21.55345154,Pisac
1997.04.15,22.64426804,Pisac
1997.05.16,22.89979172,Pisac
1997.06.15,24.07297897,Pisac
1997.07.16,23.71447563,Pisac
1997.08.16,21.66934013,Pisac
1997.09.15,23.4129715,Pisac
1997.10.16,24.78993988,Pisac
1997.11.15,24.39909172,Pisac
1997.12.16,24.18976212,Pisac
1998.01.16,23.26454353,Pisac
1998.02.14,23.57775497,Pisac
1998.03.16,24.10918236,Pisac
1998.04.15,25.34515572,Pisac
1998.05.16,25.56492615,Pisac
1998.06.15,23.21155357,Pisac
1998.07.16,24.14940834,Pisac
1998.08.16,24.16681862,Pisac
1998.09.15,25.50387192,Pisac
1998.10.16,23.75288582,Pisac
1998.11.15,23.68839264,Pisac
1998.12.16,22.73324966,Pisac
1999.01.16,22.07073593,Pisac
1999.02.14,20.46050262,Pisac
1999.03.16,20.10474205,Pisac
1999.04.15,21.25219345,Pisac
1999.05.16,22.64908028,Pisac
1999.06.15,22.61685562,Pisac
1999.07.16,21.61958122,Pisac
1999.08.16,23.43035507,Pisac
1999.09.15,22.40942192,Pisac
1999.10.16,22.34619713,Pisac
1999.11.15,24.0379715,Pisac
1999.12.16,21.59711075,Pisac
2000.01.16,20.18021011,Pisac
2000.02.15,19.97681808,Pisac
2000.03.16,19.96081734,Pisac
2000.04.15,22.23694801,Pisac
2000.05.16,22.77598,Pisac
2000.06.15,22.27698326,Pisac
2000.07.16,21.89125061,Pisac
2000.08.16,22.36807823,Pisac
2000.09.15,24.07442093,Pisac
2000.10.16,22.20889664,Pisac
2000.11.15,24.81188965,Pisac
2000.12.16,22.298769,Pisac
2001.01.16,19.40421677,Pisac
2001.02.14,19.60040665,Pisac
2001.03.16,20.32365799,Pisac
2001.04.15,21.43540192,Pisac
2001.05.16,21.66468811,Pisac
2001.06.15,21.80017281,Pisac
2001.07.16,21.38021278,Pisac
2001.08.16,22.15571022,Pisac
2001.09.15,22.83117104,Pisac
2001.10.16,23.09748268,Pisac
2001.11.15,23.09701538,Pisac
2001.12.16,22.74793625,Pisac
2002.01.16,22.1753273,Pisac
2002.02.14,19.82312202,Pisac
2002.03.16,21.48789787,Pisac
2002.04.15,21.88490868,Pisac
2002.05.16,22.50934792,Pisac
2002.06.15,22.55775642,Pisac
2002.07.16,20.65469742,Pisac
2002.08.16,21.95111275,Pisac
2002.09.15,22.80753899,Pisac
2002.10.16,22.65420914,Pisac
2002.11.15,22.84014511,Pisac
2002.12.16,21.39070129,Pisac
2003.01.16,21.67506027,Pisac
2003.02.14,21.83473778,Pisac
2003.03.16,21.19992065,Pisac
2003.04.15,22.31564903,Pisac
2003.05.16,23.21060944,Pisac
2003.06.15,22.85693741,Pisac
2003.07.16,23.11693764,Pisac
2003.08.16,22.01717949,Pisac
2003.09.15,22.7928772,Pisac
2003.10.16,23.97600174,Pisac
2003.11.15,24.29599953,Pisac
2003.12.16,23.01003075,Pisac
2004.01.16,20.70988083,Pisac
2004.02.15,21.29833984,Pisac
2004.03.16,22.0585556,Pisac
2004.04.15,22.75843239,Pisac
2004.05.16,23.9719162,Pisac
2004.06.15,21.35974503,Pisac
2004.07.16,20.99866867,Pisac
2004.08.16,20.69997787,Pisac
2004.09.15,21.96796608,Pisac
2004.10.16,23.66879082,Pisac
2004.11.15,23.81997299,Pisac
2004.12.16,23.17292976,Pisac
2005.01.16,22.25741768,Pisac
2005.02.14,21.36008453,Pisac
2005.03.16,22.29943466,Pisac
2005.04.15,23.90006447,Pisac
2005.05.16,24.64018059,Pisac
2005.06.15,23.44393921,Pisac
2005.07.16,23.78602028,Pisac
2005.08.16,24.20123291,Pisac
2005.09.15,23.34163094,Pisac
2005.10.16,23.02637863,Pisac
2005.11.15,24.26955032,Pisac
2005.12.16,23.26526833,Pisac
2006.01.16,20.80610466,Pisac
2006.02.14,22.13220406,Pisac
2006.03.16,21.3357811,Pisac
2006.04.15,22.44067574,Pisac
2006.05.16,23.67393684,Pisac
2006.06.15,22.52231598,Pisac
2006.07.16,22.90587997,Pisac
2006.08.16,23.26730537,Pisac
2006.09.15,23.96072197,Pisac
2006.10.16,23.17882919,Pisac
2006.11.15,22.20255661,Pisac
2006.12.16,21.44353485,Pisac
2007.01.16,22.19404221,Pisac
2007.02.14,21.63038445,Pisac
2007.03.16,21.12165451,Pisac
2007.04.15,21.55690002,Pisac
2007.05.16,22.80697632,Pisac
2007.06.15,23.2112236,Pisac
2007.07.16,22.35048485,Pisac
2007.08.16,23.8734684,Pisac
2007.09.15,21.40544701,Pisac
2007.10.16,23.1903286,Pisac
2007.11.15,24.12457657,Pisac
2007.12.16,22.40652847,Pisac
2008.01.16,20.02030945,Pisac
2008.02.15,21.69791412,Pisac
2008.03.16,20.92841911,Pisac
2008.04.15,22.16601563,Pisac
2008.05.16,22.52433968,Pisac
2008.06.15,22.66676331,Pisac
2008.07.16,23.01967812,Pisac
2008.08.16,24.0177269,Pisac
2008.09.15,23.77327919,Pisac
2008.10.16,22.96393394,Pisac
2008.11.15,24.2593708,Pisac
2008.12.16,21.89684868,Pisac
2009.01.16,21.1343441,Pisac
2009.02.14,21.47266388,Pisac
2009.03.16,21.66310883,Pisac
2009.04.15,22.89776993,Pisac
2009.05.16,23.35681152,Pisac
2009.06.15,23.99902534,Pisac
2009.07.16,22.82382393,Pisac
2009.08.16,24.46652412,Pisac
2009.09.15,24.39668465,Pisac
2009.10.16,25.76370621,Pisac
2009.11.15,24.39294434,Pisac
2009.12.16,22.41618729,Pisac
2010.01.16,21.2590847,Pisac
2010.02.14,21.9886322,Pisac
2010.03.16,22.44677544,Pisac
2010.04.15,23.56238174,Pisac
2010.05.16,24.17323112,Pisac
2010.06.15,24.01817322,Pisac
2010.07.16,24.8465271,Pisac
2010.08.16,24.47631836,Pisac
2010.09.15,24.54491615,Pisac
2010.10.16,24.22628784,Pisac
2010.11.15,24.32816505,Pisac
2010.12.16,22.72676277,Pisac
2011.01.16,22.28124046,Pisac
2011.02.14,20.09673119,Pisac
2011.03.16,21.10849571,Pisac
2011.04.15,22.50010109,Pisac
2011.05.16,23.36328125,Pisac
2011.06.15,24.17277908,Pisac
2011.07.16,22.23456192,Pisac
2011.08.16,23.80356789,Pisac
2011.09.15,22.67087364,Pisac
2011.10.16,24.08662033,Pisac
2011.11.15,25.0170002,Pisac
2011.12.16,21.20191765,Pisac
2012.01.16,21.84826088,Pisac
2012.02.15,20.73024559,Pisac
2012.03.16,21.59682083,Pisac
2012.04.15,22.13077927,Pisac
2012.05.16,23.77062988,Pisac
2012.06.15,23.57965279,Pisac
2012.07.16,24.01854324,Pisac
2012.08.16,24.26470375,Pisac
2012.09.15,23.2804451,Pisac
2012.10.16,24.71476936,Pisac
2012.11.15,24.98856544,Pisac
2012.12.16,21.07497406,Pisac
2013.01.16,21.31964493,Pisac
2013.02.14,21.40236664,Pisac
2013.03.16,22.76518059,Pisac
2013.04.15,23.66398811,Pisac
2013.05.16,23.01878929,Pisac
2013.06.15,21.97827721,Pisac
2013.07.16,21.98246002,Pisac
2013.08.16,23.47835541,Pisac
2013.09.15,24.78086281,Pisac
2013.10.16,23.74993896,Pisac
2013.11.15,23.73568726,Pisac
2013.12.16,22.06748581,Pisac
2014.01.16,21.67502785,Pisac
2014.02.14,22.24472618,Pisac
2014.03.16,23.08694649,Pisac
2014.04.15,22.7678051,Pisac
2014.05.16,23.1448555,Pisac
2014.06.15,24.53236008,Pisac
2014.07.16,23.5582962,Pisac
2014.08.16,23.21085548,Pisac
2014.09.15,22.66995049,Pisac
2014.10.16,24.0906353,Pisac
2014.11.15,25.10421181,Pisac
2014.12.16,24.40371513,Pisac
2015.01.16,22.99249077,Pisac
2015.02.14,22.81129074,Pisac
2015.03.16,23.52064514,Pisac
2015.04.15,22.88007164,Pisac
2015.05.16,23.79643822,Pisac
2015.06.15,24.20833397,Pisac
2015.07.16,24.21111107,Pisac
2015.08.16,25.61931801,Pisac
2015.09.15,25.14237595,Pisac
2015.10.16,25.30179977,Pisac
2015.11.15,26.09316826,Pisac
2015.12.16,23.36628914,Pisac
