date,value,punto
1981.01.16,20.84337997,Urubamba
1981.02.14,21.66725922,Urubamba
1981.03.16,21.33075714,Urubamba
1981.04.15,22.64107895,Urubamba
1981.05.16,22.77363968,Urubamba
1981.06.15,22.80756187,Urubamba
1981.07.16,23.36228371,Urubamba
1981.08.16,22.96525764,Urubamba
1981.09.15,23.81883621,Urubamba
1981.10.16,23.91270828,Urubamba
1981.11.15,22.71662521,Urubamba
1981.12.16,22.70835686,Urubamba
1982.01.16,23.91404343,Urubamba
1982.02.14,24.04362106,Urubamba
1982.03.16,21.92864609,Urubamba
1982.04.15,23.68502998,Urubamba
1982.05.16,23.37611008,Urubamba
1982.06.15,22.86924362,Urubamba
1982.07.16,24.11637306,Urubamba
1982.08.16,24.76719284,Urubamba
1982.09.15,24.10073471,Urubamba
1982.10.16,24.70280075,Urubamba
1982.11.15,23.37047768,Urubamba
1982.12.16,24.1020298,Urubamba
1983.01.16,24.0384407,Urubamba
1983.02.14,22.66764641,Urubamba
1983.03.16,22.98184204,Urubamba
1983.04.15,22.63929749,Urubamba
1983.05.16,21.43518257,Urubamba
1983.06.15,23.76537132,Urubamba
1983.07.16,22.06723213,Urubamba
1983.08.16,23.82551384,Urubamba
1983.09.15,24.79156303,Urubamba
1983.10.16,22.10871315,Urubamba
1983.11.15,20.61171913,Urubamba
1983.12.16,22.78527641,Urubamba
1984.01.16,19.8074646,Urubamba
1984.02.15,20.74526978,Urubamba
1984.03.16,22.11044693,Urubamba
1984.04.15,21.18021393,Urubamba
1984.05.16,23.49882889,Urubamba
1984.06.15,22.26956177,Urubamba
1984.07.16,21.01135445,Urubamba
1984.08.16,22.06900978,Urubamba
1984.09.15,22.96380424,Urubamba
1984.10.16,23.60880089,Urubamba
1984.11.15,22.53467369,Urubamba
1984.12.16,21.65141487,Urubamba
1985.01.16,21.80251312,Urubamba
1985.02.14,20.69463921,Urubamba
1985.03.16,22.8282299,Urubamba
1985.04.15,22.53227615,Urubamba
1985.05.16,23.48863029,Urubamba
1985.06.15,21.19675255,Urubamba
1985.07.16,21.57738304,Urubamba
1985.08.16,23.66883087,Urubamba
1985.09.15,23.15944672,Urubamba
1985.10.16,24.01393318,Urubamba
1985.11.15,21.71888924,Urubamba
1985.12.16,21.56631851,Urubamba
1986.01.16,22.01960373,Urubamba
1986.02.14,20.83629608,Urubamba
1986.03.16,20.91310883,Urubamba
1986.04.15,22.69376183,Urubamba
1986.05.16,22.1084404,Urubamba
1986.06.15,23.40583229,Urubamba
1986.07.16,21.70433044,Urubamba
1986.08.16,22.94712257,Urubamba
1986.09.15,23.19624138,Urubamba
1986.10.16,24.99053764,Urubamba
1986.11.15,24.63924599,Urubamba
1986.12.16,23.06661415,Urubamba
1987.01.16,21.83795547,Urubamba
1987.02.14,22.88083267,Urubamba
1987.03.16,23.31818199,Urubamba
1987.04.15,23.1697998,Urubamba
1987.05.16,22.88576698,Urubamba
1987.06.15,22.13792801,Urubamba
1987.07.16,22.95763779,Urubamba
1987.08.16,24.01210213,Urubamba
1987.09.15,23.5830574,Urubamba
1987.10.16,23.59347343,Urubamba
1987.11.15,22.56316757,Urubamba
1987.12.16,23.12561607,Urubamba
1988.01.16,21.28740501,Urubamba
1988.02.15,22.55867004,Urubamba
1988.03.16,21.25322342,Urubamba
1988.04.15,21.3872509,Urubamba
1988.05.16,22.81185341,Urubamba
1988.06.15,22.78905678,Urubamba
1988.07.16,22.57847977,Urubamba
1988.08.16,24.40475273,Urubamba
1988.09.15,22.94084358,Urubamba
1988.10.16,24.03968811,Urubamba
1988.11.15,23.25813866,Urubamba
1988.12.16,22.24032784,Urubamba
1989.01.16,20.6610527,Urubamba
1989.02.14,21.195961,Urubamba
1989.03.16,21.37238884,Urubamba
1989.04.15,21.70049286,Urubamba
1989.05.16,21.90708351,Urubamba
1989.06.15,21.68837929,Urubamba
1989.07.16,21.62281799,Urubamba
1989.08.16,22.33468056,Urubamba
1989.09.15,22.80001068,Urubamba
1989.10.16,23.98334885,Urubamba
1989.11.15,24.22368431,Urubamba
1989.12.16,24.13412476,Urubamba
1990.01.16,22.54115677,Urubamba
1990.02.14,23.06267357,Urubamba
1990.03.16,22.70343208,Urubamba
1990.04.15,23.00157547,Urubamba
1990.05.16,22.27638054,Urubamba
1990.06.15,19.75881958,Urubamba
1990.07.16,21.53057861,Urubamba
1990.08.16,22.51406288,Urubamba
1990.09.15,23.50705338,Urubamba
1990.10.16,22.75535393,Urubamba
1990.11.15,22.41069031,Urubamba
1990.12.16,22.77765656,Urubamba
1991.01.16,23.23561287,Urubamba
1991.02.14,22.55463409,Urubamba
1991.03.16,21.88052368,Urubamba
1991.04.15,22.69476128,Urubamba
1991.05.16,23.9846859,Urubamba
1991.06.15,23.10160828,Urubamba
1991.07.16,23.29460335,Urubamba
1991.08.16,23.02959824,Urubamba
1991.09.15,22.47961044,Urubamba
1991.10.16,22.55789185,Urubamba
1991.11.15,21.99439812,Urubamba
1991.12.16,23.19789314,Urubamba
1992.01.16,22.72910881,Urubamba
1992.02.15,22.50845146,Urubamba
1992.03.16,23.17244148,Urubamba
1992.04.15,23.49642372,Urubamba
1992.05.16,24.38652229,Urubamba
1992.06.15,21.01643753,Urubamba
1992.07.16,20.62572861,Urubamba
1992.08.16,21.38234329,Urubamba
1992.09.15,22.28659821,Urubamba
1992.10.16,22.81682777,Urubamba
1992.11.15,23.16493988,Urubamba
1992.12.16,22.95309067,Urubamba
1993.01.16,21.46543503,Urubamba
1993.02.14,21.92014885,Urubamba
1993.03.16,21.93660927,Urubamba
1993.04.15,22.07792282,Urubamba
1993.05.16,23.58923531,Urubamba
1993.06.15,23.48833084,Urubamba
1993.07.16,22.36011314,Urubamba
1993.08.16,21.5423584,Urubamba
1993.09.15,22.24786377,Urubamba
1993.10.16,23.17048836,Urubamba
1993.11.15,22.92232513,Urubamba
1993.12.16,22.34863281,Urubamba
1994.01.16,21.57524109,Urubamba
1994.02.14,21.46574211,Urubamba
1994.03.16,21.64837074,Urubamba
1994.04.15,21.75776672,Urubamba
1994.05.16,23.07810211,Urubamba
1994.06.15,22.22312737,Urubamba
1994.07.16,22.19784355,Urubamba
1994.08.16,23.03308105,Urubamba
1994.09.15,22.72465706,Urubamba
1994.10.16,22.97994041,Urubamba
1994.11.15,23.25494385,Urubamba
1994.12.16,22.78116798,Urubamba
1995.01.16,22.38263702,Urubamba
1995.02.14,22.50734711,Urubamba
1995.03.16,21.52403831,Urubamba
1995.04.15,23.55698395,Urubamba
1995.05.16,24.12175941,Urubamba
1995.06.15,22.94041252,Urubamba
1995.07.16,23.08927917,Urubamba
1995.08.16,24.14056015,Urubamba
1995.09.15,22.84454536,Urubamba
1995.10.16,24.14388847,Urubamba
1995.11.15,23.1055069,Urubamba
1995.12.16,22.72775841,Urubamba
1996.01.16,21.16069984,Urubamba
1996.02.15,21.61866379,Urubamba
1996.03.16,21.98662949,Urubamba
1996.04.15,21.94909286,Urubamba
1996.05.16,22.80617714,Urubamba
1996.06.15,22.33804512,Urubamba
1996.07.16,21.97691917,Urubamba
1996.08.16,21.66214752,Urubamba
1996.09.15,23.00065231,Urubamba
1996.10.16,23.48039818,Urubamba
1996.11.15,22.75785065,Urubamba
